date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jun%202021%2011:52:33%20GMT	http://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.0625e.delayed	(from )
12:52:34	80233/80233	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20May%202021%2009:24:27%20GMT	https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/pages/dashboard625e.html	(from )
12:52:35	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Jun%202021%2011:52:35%20GMT	https://demos.creative-tim.com/robots.txt		(from )
12:52:35	2446/2446	---M--	200	added ('OK')	image/png	etag:%226098fbcb-98e%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/apple-icon.png	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/apple-icon.png	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:35	2761/2761	---M--	200	added ('OK')	image/png	etag:%226098fbcb-ac9%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/favicon.png	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/favicon.png	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:37	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Thu,%2024%20Jun%202021%2011:52:36%20GMT	https://s3.amazonaws.com/creativetim_bucket/products/450/original/opt_sd_free_thumbnail.png	C:/Users/david/OneDrive/Desktop/cc1/s3.amazonaws.com/creativetim_bucket/products/450/original/opt_sd_free_thumbnail.4.delayed	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:37	9015/9015	---M-Z	200	added ('OK')	text/css	etag:W/%226098fbcb-2337%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/css/nucleo-icons.css	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/css/nucleo-icons.css	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:37	2253/2253	---M-Z	200	added ('OK')	text/css	etag:W/%226098fbcb-8cd%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/css/nucleo-svg.css	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/css/nucleo-svg.css	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:38	10865/10865	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2024%20Jun%202021%2011:52:38%20GMT	https://kit.fontawesome.com/42d5adcbca.js	C:/Users/david/OneDrive/Desktop/cc1/kit.fontawesome.com/42d5adcbca.js	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:39	274046/274046	---M-Z	200	added ('OK')	text/css	etag:W/%226098fbcb-42e7e%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/css/soft-ui-dashboard.min.css?v=1.0.2	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/css/soft-ui-dashboard.min0ff5.css	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
